areaCode,areaName,areaType,date,age,deaths,rollingSum,rollingRate
E92000001,England,nation,2021-03-13,20_24,0.0,0.0,0.0
E92000001,England,nation,2021-03-13,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-13,30_34,0.0,0.0,0.0
E92000001,England,nation,2021-03-13,35_39,0.0,2.0,0.1
E92000001,England,nation,2021-03-13,40_44,0.0,5.0,0.1
E92000001,England,nation,2021-03-13,45_49,1.0,14.0,0.4
E92000001,England,nation,2021-03-13,50_54,1.0,23.0,0.6
E92000001,England,nation,2021-03-13,55_59,6.0,51.0,1.4
E92000001,England,nation,2021-03-13,60+,89.0,632.0,4.7
E92000001,England,nation,2021-03-13,60_64,6.0,35.0,1.1
E92000001,England,nation,2021-03-13,65_69,8.0,63.0,2.3
E92000001,England,nation,2021-03-13,70_74,14.0,98.0,3.5
E92000001,England,nation,2021-03-13,75_79,8.0,79.0,4.1
E92000001,England,nation,2021-03-13,80_84,13.0,102.0,7.1
E92000001,England,nation,2021-03-13,85_89,24.0,138.0,15.7
E92000001,England,nation,2021-03-13,90+,16.0,117.0,22.6
E92000001,England,nation,2021-03-12,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-12,00_59,12.0,102.0,0.2
E92000001,England,nation,2021-03-12,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-12,10_14,0.0,1.0,0.0
E92000001,England,nation,2021-03-12,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-12,20_24,0.0,0.0,0.0
E92000001,England,nation,2021-03-12,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-12,30_34,0.0,1.0,0.0
E92000001,England,nation,2021-03-12,35_39,0.0,2.0,0.1
E92000001,England,nation,2021-03-12,40_44,0.0,5.0,0.1
E92000001,England,nation,2021-03-12,45_49,3.0,15.0,0.4
E92000001,England,nation,2021-03-12,50_54,1.0,30.0,0.8
E92000001,England,nation,2021-03-12,55_59,8.0,48.0,1.3
E92000001,England,nation,2021-03-12,60+,69.0,657.0,4.9
E92000001,England,nation,2021-03-12,60_64,7.0,33.0,1.1
E92000001,England,nation,2021-03-12,65_69,8.0,66.0,2.4
E92000001,England,nation,2021-03-12,70_74,7.0,97.0,3.5
E92000001,England,nation,2021-03-12,75_79,7.0,90.0,4.6
E92000001,England,nation,2021-03-12,80_84,11.0,111.0,7.7
E92000001,England,nation,2021-03-12,85_89,17.0,132.0,15.0
E92000001,England,nation,2021-03-12,90+,12.0,128.0,24.7
E92000001,England,nation,2021-03-11,00_04,0.0,0.0,0.0
E92000001,England,nation,2021-03-11,00_59,12.0,99.0,0.2
E92000001,England,nation,2021-03-11,05_09,0.0,0.0,0.0
E92000001,England,nation,2021-03-11,10_14,0.0,1.0,0.0
E92000001,England,nation,2021-03-11,15_19,0.0,0.0,0.0
E92000001,England,nation,2021-03-11,20_24,0.0,0.0,0.0
E92000001,England,nation,2021-03-11,25_29,0.0,0.0,0.0
E92000001,England,nation,2021-03-11,30_34,0.0,1.0,0.0
E92000001,England,nation,2021-03-11,35_39,0.0,2.0,0.1
E92000001,England,nation,2021-03-11,40_44,0.0,6.0,0.2
E92000001,England,nation,2021-03-11,45_49,2.0,12.0,0.3
