areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-07-16,25_29,7314,39885,1057.5
E92000001,England,nation,2021-07-16,30_34,5606,30948,809.2
E92000001,England,nation,2021-07-16,35_39,4044,22936,613.6
E92000001,England,nation,2021-07-16,40_44,3018,18105,520.8
E92000001,England,nation,2021-07-16,45_49,2520,14756,405.5
E92000001,England,nation,2021-07-16,50_54,2287,12890,332.6
E92000001,England,nation,2021-07-16,55_59,1727,9706,258.0
E92000001,England,nation,2021-07-16,60+,2792,14921,109.2
E92000001,England,nation,2021-07-16,60_64,1121,5919,185.2
E92000001,England,nation,2021-07-16,65_69,626,3418,122.8
E92000001,England,nation,2021-07-16,70_74,473,2469,87.7
E92000001,England,nation,2021-07-16,75_79,276,1444,71.8
E92000001,England,nation,2021-07-16,80_84,141,865,59.7
E92000001,England,nation,2021-07-16,85_89,97,501,56.6
E92000001,England,nation,2021-07-16,90+,58,305,58.5
E92000001,England,nation,2021-07-16,unassigned,24,143,
E92000001,England,nation,2021-07-15,00_04,860,4584,141.5
E92000001,England,nation,2021-07-15,00_59,53599,253738,591.6
E92000001,England,nation,2021-07-15,05_09,2063,12408,350.6
E92000001,England,nation,2021-07-15,10_14,4193,25392,739.1
E92000001,England,nation,2021-07-15,15_19,7399,34963,1122.1
E92000001,England,nation,2021-07-15,20_24,8989,39711,1143.6
E92000001,England,nation,2021-07-15,25_29,8759,36041,955.6
E92000001,England,nation,2021-07-15,30_34,6524,28025,732.7
E92000001,England,nation,2021-07-15,35_39,4506,21181,566.6
E92000001,England,nation,2021-07-15,40_44,3372,16896,486.0
E92000001,England,nation,2021-07-15,45_49,2721,13747,377.8
E92000001,England,nation,2021-07-15,50_54,2316,11874,306.4
E92000001,England,nation,2021-07-15,55_59,1897,8916,237.0
E92000001,England,nation,2021-07-15,60+,2655,13686,100.2
E92000001,England,nation,2021-07-15,60_64,1081,5390,168.6
E92000001,England,nation,2021-07-15,65_69,619,3134,112.6
E92000001,England,nation,2021-07-15,70_74,426,2270,80.7
E92000001,England,nation,2021-07-15,75_79,229,1319,65.6
E92000001,England,nation,2021-07-15,80_84,169,819,56.5
E92000001,England,nation,2021-07-15,85_89,81,465,52.5
E92000001,England,nation,2021-07-15,90+,50,289,55.5
E92000001,England,nation,2021-07-15,unassigned,20,129,
E92000001,England,nation,2021-07-14,00_04,750,4259,131.5
E92000001,England,nation,2021-07-14,00_59,46775,227921,531.4
E92000001,England,nation,2021-07-14,05_09,2023,11836,334.4
E92000001,England,nation,2021-07-14,10_14,4131,24018,699.1
E92000001,England,nation,2021-07-14,15_19,6499,31345,1006.0
E92000001,England,nation,2021-07-14,20_24,7775,35280,1016.0
E92000001,England,nation,2021-07-14,25_29,7290,31106,824.8
E92000001,England,nation,2021-07-14,30_34,5417,24429,638.7
E92000001,England,nation,2021-07-14,35_39,3845,18897,505.5
E92000001,England,nation,2021-07-14,40_44,3090,15420,443.6
E92000001,England,nation,2021-07-14,45_49,2415,12528,344.3
E92000001,England,nation,2021-07-14,50_54,2031,10811,279.0
E92000001,England,nation,2021-07-14,55_59,1509,7992,212.5
